TOTAL_MISSIONS,DATE
973160,6/7/68
976049,6/8/68
979019,6/9/68
982019,6/10/68
985210,6/11/68
988279,6/12/68
991217,6/13/68
993912,6/14/68
996989,6/15/68
1000129,6/16/68
1002839,6/17/68
1005826,6/18/68
1009055,6/19/68
1012107,6/20/68
1014624,6/21/68
1017551,6/22/68
1020790,6/23/68
1023893,6/24/68
1026888,6/25/68
1029666,6/26/68
1032508,6/27/68
1035186,6/28/68
1037855,6/29/68
1040532,6/30/68
1041806,7/1/68
1043080,7/2/68
1044452,7/3/68
1045869,7/4/68
1047266,7/5/68
1048727,7/6/68
1050232,7/7/68
1051844,7/8/68
1053322,7/9/68
1054769,7/10/68
1056272,7/11/68
1057652,7/12/68
1059141,7/13/68
1060410,7/14/68
1061575,7/15/68
1062777,7/16/68
1063706,7/17/68
1065059,7/18/68
1066791,7/19/68
1068390,7/20/68
1069753,7/21/68
1071184,7/22/68
1072524,7/23/68
1073787,7/24/68
1075097,7/25/68
1076422,7/26/68
1076443,7/27/68
1076463,7/28/68
1076484,7/29/68
1076504,7/30/68
1076528,7/31/68
1078013,8/1/68
1079396,8/2/68
1080941,8/3/68
1082315,8/4/68
1083699,8/5/68
1085183,8/6/68
1086787,8/7/68
1088344,8/8/68
1090004,8/9/68
1091555,8/10/68
1092806,8/11/68
1093899,8/12/68
1094874,8/13/68
1096382,8/14/68
1097873,8/15/68
1099270,8/16/68
1100561,8/17/68
1101992,8/18/68
1103493,8/19/68
1105051,8/20/68
1106834,8/21/68
1108303,8/22/68
1110072,8/23/68
1111970,8/24/68
1113704,8/25/68
1115513,8/26/68
1116969,8/27/68
1118523,8/28/68
1119903,8/29/68
1121650,8/30/68
1123311,8/31/68
1125090,9/1/68
1127996,9/2/68
1130861,9/3/68
1132521,9/4/68
1134007,9/5/68
1136122,9/6/68
1139137,9/7/68
1142193,9/8/68
1145214,9/9/68
1148144,9/10/68
1151176,9/11/68
1154072,9/12/68
1156900,9/13/68
1160126,9/14/68
1163233,9/15/68
1166462,9/16/68
1169682,9/17/68
1172949,9/18/68
1176092,9/19/68
1179135,9/20/68
1181648,9/21/68
1184210,9/22/68
1187045,9/23/68
1189928,9/24/68
1192777,9/25/68
1195581,9/26/68
1198522,9/27/68
1201600,9/28/68
1204320,9/29/68
1207179,9/30/68
1208818,10/1/68
1210543,10/2/68
1212359,10/3/68
1214116,10/4/68
1215858,10/5/68
1217721,10/6/68
1219708,10/7/68
1221321,10/8/68
1222771,10/9/68
1224391,10/10/68
1226017,10/11/68
1227456,10/12/68
1228972,10/13/68
1230206,10/14/68
1231419,10/15/68
1232645,10/16/68
1233756,10/17/68
1234720,10/18/68
1235433,10/19/68
1236287,10/20/68
1237473,10/21/68
1238712,10/22/68
1240498,10/23/68
1242151,10/24/68
1243686,10/25/68
1245358,10/26/68
1246933,10/27/68
1248518,10/28/68
1249944,10/29/68
1251390,10/30/68
1252902,10/31/68
1253962,11/1/68
1255123,11/2/68
1256344,11/3/68
1257621,11/4/68
1258891,11/5/68
1260003,11/6/68
1261202,11/7/68
1262382,11/8/68
1263205,11/9/68
1264259,11/10/68
1265405,11/11/68
1266460,11/12/68
1267446,11/13/68
1268622,11/14/68
1269746,11/15/68
1270867,11/16/68
1271925,11/17/68
1273011,11/18/68
1274043,11/19/68
1275261,11/20/68
1276410,11/21/68
1277216,11/22/68
1278198,11/23/68
1279155,11/24/68
1280305,11/25/68
1281568,11/26/68
1282601,11/27/68
1283630,11/28/68
1284837,11/29/68
1286007,11/30/68
1287267,12/1/68
1288571,12/2/68
1289732,12/3/68
1291037,12/4/68
1292038,12/5/68
1293191,12/6/68
1294469,12/7/68
1295482,12/8/68
1296476,12/9/68
1297850,12/10/68
1299075,12/11/68
1299966,12/12/68
1301201,12/13/68
1302597,12/14/68
1303815,12/15/68
1305046,12/16/68
1306229,12/17/68
1307678,12/18/68
1309094,12/19/68
1310482,12/20/68
1311813,12/21/68
1312753,12/22/68
1314019,12/23/68
1315128,12/24/68
1315941,12/25/68
1317362,12/26/68
1318568,12/27/68
1319842,12/28/68
1321202,12/29/68
1322403,12/30/68
1323603,12/31/68
1324909,1/1/69
1326091,1/2/69
1327162,1/3/69
1328101,1/4/69
1329208,1/5/69
1330203,1/6/69
1331198,1/7/69
1332469,1/8/69
1333872,1/9/69
1335076,1/10/69
1336390,1/11/69
1337710,1/12/69
1338855,1/13/69
1340135,1/14/69
1341210,1/15/69
1342335,1/16/69
1343493,1/17/69
1344624,1/18/69
1345899,1/19/69
1347062,1/20/69
1348123,1/21/69
1349394,1/22/69
1350666,1/23/69
1351910,1/24/69
1353158,1/25/69
1354311,1/26/69
1355503,1/27/69
1356679,1/28/69
1357829,1/29/69
1359067,1/30/69
1360171,1/31/69
1361256,2/1/69
1362437,2/2/69
1363701,2/3/69
1364954,2/4/69
1365970,2/5/69
1367196,2/6/69
1368354,2/7/69
1369552,2/8/69
1370866,2/9/69
1372153,2/10/69
1373560,2/11/69
1374889,2/12/69
1376169,2/13/69
1377524,2/14/69
1378607,2/15/69
1379734,2/16/69
1380566,2/17/69
1381843,2/18/69
1382973,2/19/69
1384206,2/20/69
1385555,2/21/69
1386883,2/22/69
1388244,2/23/69
1389501,2/24/69
1390963,2/25/69
1392309,2/26/69
1393735,2/27/69
1394500,2/28/69
1395793,3/1/69
1397095,3/2/69
1397539,3/3/69
1397559,3/4/69
1397579,3/5/69
1397599,3/6/69
1397619,3/7/69
1397653,3/8/69
1397665,3/9/69
1397685,3/10/69
1397705,3/11/69
1397725,3/12/69
1397745,3/13/69
1397765,3/14/69
1397785,3/15/69
1397807,3/16/69
1397843,3/17/69
1397855,3/18/69
1397875,3/19/69
1397895,3/20/69
1397914,3/21/69
1397930,3/22/69
1397948,3/23/69
1397968,3/24/69
1397985,3/25/69
1398026,3/26/69
1399283,3/27/69
1400608,3/28/69
1401880,3/29/69
1402788,3/30/69
1403796,3/31/69
1404999,4/1/69
1406401,4/2/69
1407516,4/3/69
1408706,4/4/69
1409711,4/5/69
1411013,4/6/69
1412360,4/7/69
1413543,4/8/69
1414820,4/9/69
1416131,4/10/69
1417397,4/11/69
1418700,4/12/69
1419832,4/13/69
1421175,4/14/69
1422412,4/15/69
1423534,4/16/69
1424686,4/17/69
1425870,4/18/69
1427042,4/19/69
1428233,4/20/69
1429402,4/21/69
1430688,4/22/69
1431975,4/23/69
1432215,4/24/69
1432233,4/25/69
1432254,4/26/69
1432275,4/27/69
1432299,4/28/69
1432324,4/29/69
1432346,4/30/69
1433628,5/1/69
1434870,5/2/69
1436080,5/3/69
1437128,5/4/69
1438461,5/5/69
1439627,5/6/69
1441032,5/7/69
1442369,5/8/69
1443768,5/9/69
1445203,5/10/69
1446524,5/11/69
1447857,5/12/69
1449221,5/13/69
1450520,5/14/69
1451698,5/15/69
1453064,5/16/69
1454215,5/17/69
1455309,5/18/69
1456612,5/19/69
1457788,5/20/69
1458900,5/21/69
1460049,5/22/69
1461090,5/23/69
1462077,5/24/69
1462936,5/25/69
1463695,5/26/69
1464355,5/27/69
1465031,5/28/69
1465887,5/29/69
1466297,5/30/69
1467293,5/31/69
1468540,6/1/69
1469772,6/2/69
1472190,6/3/69
1474294,6/4/69
1476443,6/5/69
1478561,6/6/69
1480702,6/7/69
1482925,6/8/69
1485336,6/9/69
1487511,6/10/69
1489811,6/11/69
1491987,6/12/69
1494397,6/13/69
1496805,6/14/69
1499237,6/15/69
1501490,6/16/69
1503575,6/17/69
1505378,6/18/69
1507522,6/19/69
1509754,6/20/69
1511990,6/21/69
1514524,6/22/69
1517004,6/23/69
1519485,6/24/69
1521696,6/25/69
1523923,6/26/69
1526164,6/27/69
1528463,6/28/69
1530707,6/29/69
1532703,6/30/69
1533876,7/1/69
1535076,7/2/69
1536213,7/3/69
1537503,7/4/69
1538758,7/5/69
1539891,7/6/69
1540984,7/7/69
1542067,7/8/69
1543144,7/9/69
1544177,7/10/69
1545017,7/11/69
1546064,7/12/69
1547120,7/13/69
1548093,7/14/69
1549127,7/15/69
1550104,7/16/69
1551155,7/17/69
1552223,7/18/69
1553145,7/19/69
1554204,7/20/69
1555202,7/21/69
1556140,7/22/69
1557092,7/23/69
1557997,7/24/69
1558962,7/25/69
1559961,7/26/69
1560946,7/27/69
1561809,7/28/69
1562757,7/29/69
1563746,7/30/69
1564761,7/31/69
1565625,8/1/69
1566628,8/2/69
1567643,8/3/69
1568619,8/4/69
1569632,8/5/69
1570679,8/6/69
1571673,8/7/69
1572527,8/8/69
1573434,8/9/69
1574514,8/10/69
1575504,8/11/69
1576383,8/12/69
1577543,8/13/69
1578732,8/14/69
1579887,8/15/69
1580974,8/16/69
1582006,8/17/69
1583190,8/18/69
1584300,8/19/69
1585482,8/20/69
1586665,8/21/69
1587805,8/22/69
1588953,8/23/69
1590088,8/24/69
1591166,8/25/69
1592278,8/26/69
1593397,8/27/69
1594464,8/28/69
1595509,8/29/69
1596537,8/30/69
1597515,8/31/69
1598326,9/1/69
1599022,9/2/69
1599818,9/3/69
1600782,9/4/69
1601830,9/5/69
1602841,9/6/69
1603774,9/7/69
1604320,9/8/69
1604915,9/9/69
1605548,9/10/69
1606590,9/11/69
1607437,9/12/69
1608336,9/13/69
1609297,9/14/69
1610287,9/15/69
1611246,9/16/69
1612195,9/17/69
1612959,9/18/69
1613629,9/19/69
1614437,9/20/69
1615462,9/21/69
1616482,9/22/69
1617576,9/23/69
1618509,9/24/69
1619579,9/25/69
1620649,9/26/69
1621660,9/27/69
1622590,9/28/69
1623458,9/29/69
1624265,9/30/69
1625014,10/1/69
1625745,10/2/69
1626521,10/3/69
1627193,10/4/69
1627992,10/5/69
1628760,10/6/69
1629505,10/7/69
1630252,10/8/69
1631025,10/9/69
1631731,10/10/69
1632511,10/11/69
1633302,10/12/69
1634135,10/13/69
1634908,10/14/69
1635674,10/15/69
1636382,10/16/69
1637126,10/17/69
1637936,10/18/69
1638775,10/19/69
1639660,10/20/69
1640583,10/21/69
1641457,10/22/69
1642286,10/23/69
1643056,10/24/69
1643890,10/25/69
1644623,10/26/69
1645292,10/27/69
1646040,10/28/69
1646785,10/29/69
1647533,10/30/69
1648331,10/31/69
